Description,Price,Rating,ReviewCount,Url
"HP High Performance 15.6"" Touch-Screen Laptop (15-EF0023dx) AMD Ryzen 5 3500U 12GB Memory 256GB SSD - Natural Silver",$614.99,4.6 out of 5 stars,214,https://www.amazon.com/HP-Performance-Touch-Screen-Laptop-15-EF0023dx/dp/B087YVDX4L/ref=sr_1_157?dchild=1&keywords=gaming+laptop&qid=1616533854&sr=8-157
"HSW 10.1 inch Windows 10 Ultra Thin Laptop PC - 2GB RAM 32GB Storage, Intel Quad Core 1.44Ghz USB 3.0, WiFi, HDMI, BT, Supports 128GB tf-Card Notebook Computer",$190.00,3.4 out of 5 stars,97,https://www.amazon.com/HSW-10-1-Windows-Ultra-Laptop/dp/B07YYZJLCT/ref=sr_1_158?dchild=1&keywords=gaming+laptop&qid=1616533854&sr=8-158
MSI GF65 Thin 9SEXR-838 i7-9750H/RTX2060/8GB/512G/Win10 Gaming Laptop,$949.00,4.4 out of 5 stars,4,https://www.amazon.com/MSI-GF65-Thin-9SEXR-838-i7-9750H/dp/B08BZQ9499/ref=sr_1_159?dchild=1&keywords=gaming+laptop&qid=1616533854&sr=8-159
"Acer Nitro 5 15 2020 Premium Gaming Laptop, 15.6"" FHD IPS Display, 9th Gen Intel 6-Core i7-9750H, NVIDIA GeForce RTX 2060,16GB DDR4 RAM, 1024GB PCIE SSD, Bundle with Woov Bag-Windows 10 Home","$1,230.58",4.5 out of 5 stars,10,https://www.amazon.com/Acer-Premium-Display-i7-9750H-Bag-Windows/dp/B08PCWMZ3N/ref=sr_1_160?dchild=1&keywords=gaming+laptop&qid=1616533854&sr=8-160
"Razer Blade Stealth 13 Ultrabook Gaming Laptop: Intel Core i7-1165G7 4 Core, NVIDIA GeForce GTX 1650 Ti Max-Q, 13.3"" 1080p 120Hz, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB, Thunderbolt 4","$1,699.99",4.3 out of 5 stars,24,https://www.amazon.com/Razer-Stealth-Ultrabook-Gaming-Laptop/dp/B08JSLM9K5/ref=sr_1_161?dchild=1&keywords=gaming+laptop&qid=1616533854&sr=8-161
"Razer Blade Pro 17 Gaming Laptop 2020: Intel Core i7-10875H 8-Core, NVIDIA GeForce RTX 2080 SUPER, 17.3"" 4K 120Hz, 16GB RAM, 1TB SSD, CNC, Chroma RGB, Thunderbolt 3, SD Card Reader, Creator Ready","$3,180.24",3.9 out of 5 stars,89,https://www.amazon.com/Razer-Blade-Gaming-Laptop-2020/dp/B087KXDMNS/ref=sr_1_162?dchild=1&keywords=gaming+laptop&qid=1616533854&sr=8-162
"2021 Lenovo IdeaPad 3 15.6"" FHD 1080p Laptop, Intel Core i3-1005G1 Processor, 8GB RAM, 256GB SSD, HDMI, Webcam, Wi-Fi5, Bluetooth, Windows 10, Platinum Gray w/ IFT 32GB USB 3.0 Flash Drive",$519.99,4.8 out of 5 stars,11,https://www.amazon.com/Lenovo-i3-1005G1-Processor-Bluetooth-Platinum/dp/B08PJLMZK9/ref=sr_1_163?dchild=1&keywords=gaming+laptop&qid=1616533854&sr=8-163
"Fusion5 14.1inch A90B+ Pro 64GB Windows 10 Laptop - 4GB RAM, 64GB Storage, Full HD IPS, Bluetooth, 2MP Webcam, Dual Band WiFi Laptop",$274.95,4.1 out of 5 stars,791,https://www.amazon.com/Fusion5-14-1inch-A90B-Windows-Laptop/dp/B08GSRRKSR/ref=sr_1_164?dchild=1&keywords=gaming+laptop&qid=1616533854&sr=8-164
"WiFi Projector, Native 1080P Full HD Video Projector, Bluetooth Projector, FANGOR 7500 Lumens/250 Display/ Contrast 8000: 1 Theater Movie Projector with Wireless Mirror to iPhone/Ipad/Android Phones",$209.99,4.2 out of 5 stars,"1,323",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg10_1?ie=UTF8&adId=A02079723REYDGRTGTUM1&url=%2FProjector-Bluetooth-FANGOR-Display-Contrast%2Fdp%2FB07ZNXHXSM%2Fref%3Dsr_1_165_sspa%3Fdchild%3D1%26keywords%3Dgaming%2Blaptop%26qid%3D1616533854%26sr%3D8-165-spons%26psc%3D1%26smid%3DA3G6T9J13ABHB7&qualifier=1616533854&id=249679645194507&widgetName=sp_btf
"CyberpowerPC Tracer IV Slim 15.6"" Gaming Notebook, Intel i7-10750H 2.6GHz, GeForce RTX 2060 6GB, 16GB DDR4, 500GB PCI-E NVMe SSD, Wi-Fi, Bluetooth & Windows 10 Home (GTS99803)","$1,035.23",4.2 out of 5 stars,24,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg10_1?ie=UTF8&adId=A0479145CT41WKAHKQAR&url=%2FCYBERPOWERPC-Notebook-i7-10750H-Bluetooth-GTS99803%2Fdp%2FB086QMB93L%2Fref%3Dsr_1_166_sspa%3Fdchild%3D1%26keywords%3Dgaming%2Blaptop%26qid%3D1616533854%26sr%3D8-166-spons%26psc%3D1&qualifier=1616533854&id=249679645194507&widgetName=sp_btf
